GEOID,tract,county,state,hhincome,race.tot,race.white,race.black
13063040307,Census Tract 403.07,Clayton County,Georgia,37064,4939,1442,1784
13063040512,Census Tract 405.12,Clayton County,Georgia,36414,5478,351,4996
13063040519,Census Tract 405.19,Clayton County,Georgia,32568,4380,35,4178
13063040617,Census Tract 406.17,Clayton County,Georgia,33182,1418,941,147
13067030224,Census Tract 302.24,Cobb County,Georgia,73061,6318,4019,1262
13067030235,Census Tract 302.35,Cobb County,Georgia,104265,4862,3904,682
13067030313,Census Tract 303.13,Cobb County,Georgia,93817,9073,6391,1416
13067030412,Census Tract 304.12,Cobb County,Georgia,38668,5018,2221,2165
13067031002,Census Tract 310.02,Cobb County,Georgia,33037,9787,3286,2853
13089020200,Census Tract 202,DeKalb County,Georgia,87889,2045,1704,187
13089020600,Census Tract 206,DeKalb County,Georgia,43295,2102,794,1109
13089021213,Census Tract 212.13,DeKalb County,Georgia,147550,3687,3363,62
13089021415,Census Tract 214.15,DeKalb County,Georgia,104226,3678,2775,208
13089021810,Census Tract 218.10,DeKalb County,Georgia,68837,5593,3181,1901
13089022800,Census Tract 228,DeKalb County,Georgia,128393,4273,2796,833
13089023114,Census Tract 231.14,DeKalb County,Georgia,50889,2869,586,2009
13089023506,Census Tract 235.06,DeKalb County,Georgia,42301,6474,434,5812
13121000700,Census Tract 7,Fulton County,Georgia,71214,3121,789,2133
13121002400,Census Tract 24,Fulton County,Georgia,30972,2645,117,2491
13121002900,Census Tract 29,Fulton County,Georgia,63112,2385,1307,880
13121004800,Census Tract 48,Fulton County,Georgia,16413,1158,233,752
13121005502,Census Tract 55.02,Fulton County,Georgia,19469,2523,120,2403
13121006300,Census Tract 63,Fulton County,Georgia,24893,1384,94,1277
13121006802,Census Tract 68.02,Fulton County,Georgia,9815,2180,0,2136
13121006900,Census Tract 69,Fulton County,Georgia,71359,3861,1748,1834
13121008202,Census Tract 82.02,Fulton County,Georgia,27454,2090,74,2016
13121009404,Census Tract 94.04,Fulton County,Georgia,73649,4475,3268,716
13121010515,Census Tract 105.15,Fulton County,Georgia,43316,5553,777,4735
13121011405,Census Tract 114.05,Fulton County,Georgia,63890,7375,4702,2101
13121012000,Census Tract 120,Fulton County,Georgia,28902,2850,168,2548
13063040204,Census Tract 402.04,Clayton County,Georgia,39194,4101,144,3901
13063040412,Census Tract 404.12,Clayton County,Georgia,43321,7607,1395,4676
13063040514,Census Tract 405.14,Clayton County,Georgia,44922,7793,974,6214
